# Digitized traces from Genet et al. (2023), their Fig 9 (fiber angle +-alpha [deg]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,30,349.78,9.7360
pressure,30,351.52,9.7005
pressure,30,353.25,9.6650
pressure,30,354.98,9.6294
pressure,30,356.71,9.5939
pressure,30,358.44,9.5584
pressure,30,360.17,9.5406
pressure,30,361.90,9.5228
pressure,30,363.64,9.4873
pressure,30,365.37,9.4518
pressure,30,367.10,9.4162
pressure,30,368.83,9.3807
pressure,30,370.56,9.3629
pressure,30,372.29,9.3452
pressure,30,374.03,9.3096
pressure,30,375.76,9.2741
pressure,30,377.49,9.2386
pressure,30,379.22,9.2030
pressure,30,380.95,9.2030
pressure,30,382.68,9.1675
pressure,30,384.42,9.1320
pressure,30,386.15,9.0964
pressure,30,387.88,9.0609
pressure,30,389.61,9.0431
pressure,30,391.34,9.0254
pressure,30,393.07,8.9898
pressure,30,394.81,8.9543
pressure,30,396.54,8.9188
pressure,30,398.27,8.8832
pressure,30,400.00,8.8832
pressure,30,401.73,8.8477
pressure,30,403.46,8.8122
pressure,30,405.19,8.7411
pressure,30,406.93,8.6345
pressure,30,408.66,8.4924
pressure,30,410.39,8.2792
pressure,30,412.12,7.9416
pressure,30,413.85,7.4797
pressure,30,415.58,7.0533
pressure,30,417.32,6.6447
pressure,30,419.05,6.2538
pressure,30,420.78,5.8629
pressure,30,422.51,5.5076
pressure,30,424.24,5.2234
pressure,30,425.97,4.8858
pressure,30,427.71,4.5838
pressure,30,429.44,4.3173
pressure,30,431.17,4.0508
pressure,30,432.90,3.8198
pressure,30,434.63,3.5888
pressure,30,436.36,3.3579
pressure,30,438.10,3.1624
pressure,30,439.83,2.9848
pressure,30,441.56,2.7893
pressure,30,443.29,2.6294
pressure,30,445.02,2.4695
pressure,30,446.75,2.3274
pressure,30,448.48,2.1853
pressure,30,450.22,2.0609
pressure,30,451.95,1.9365
pressure,30,453.68,1.8299
pressure,30,455.41,1.7056
pressure,30,457.14,1.5990
pressure,30,458.87,1.5102
pressure,30,460.61,1.4036
pressure,30,462.34,1.3325
pressure,30,464.07,1.2614
pressure,30,465.80,1.1726
pressure,30,467.53,1.1015
pressure,30,469.26,1.0305
pressure,30,471.00,0.9772
pressure,30,472.73,0.9061
pressure,30,474.46,0.8706
pressure,30,476.19,0.7995
pressure,30,477.92,0.7640
pressure,30,479.65,0.7107
pressure,30,481.39,0.6574
pressure,30,483.12,0.6218
pressure,30,484.85,0.6218
pressure,30,486.58,0.5863
pressure,30,488.31,0.5685
pressure,30,490.04,0.5508
pressure,30,491.77,0.5508
pressure,30,493.51,0.5508
pressure,30,495.24,0.5330
pressure,30,496.97,0.5152
pressure,30,498.70,0.5152
pressure,30,500.43,0.5152
pressure,30,502.16,0.5152
pressure,30,503.90,0.5152
pressure,30,505.63,0.4975
pressure,30,507.36,0.4975
pressure,30,509.09,0.4975
pressure,30,510.82,0.4975
pressure,30,512.55,0.4797
pressure,30,514.29,0.4797
pressure,30,516.02,0.4797
pressure,30,517.75,0.4797
pressure,30,519.48,0.4797
pressure,30,521.21,0.4797
pressure,30,522.94,0.4797
pressure,30,524.68,0.4797
pressure,30,526.41,0.4797
pressure,30,528.14,0.4797
pressure,30,529.87,0.4797
pressure,30,531.60,0.4797
pressure,30,533.33,0.4797
pressure,30,535.06,0.4797
pressure,30,536.80,0.4797
pressure,30,538.53,0.4797
pressure,30,540.26,0.4797
pressure,30,541.99,0.4797
pressure,30,543.72,0.4797
pressure,30,545.45,0.4797
pressure,30,547.19,0.4797
pressure,30,548.92,0.4797
pressure,30,550.65,0.4797
pressure,30,552.38,0.4797
pressure,30,554.11,0.4975
pressure,30,555.84,0.4975
pressure,30,557.58,0.4975
pressure,30,559.31,0.4975
pressure,30,561.04,0.4975
pressure,30,562.77,0.4975
pressure,30,564.50,0.4975
pressure,30,566.23,0.4975
pressure,30,567.97,0.5152
pressure,30,569.70,0.5152
pressure,30,571.43,0.5152
pressure,30,573.16,0.5152
pressure,30,574.89,0.5152
pressure,30,576.62,0.5152
pressure,30,578.35,0.5152
pressure,30,580.09,0.5152
pressure,30,581.82,0.5152
pressure,30,583.55,0.5152
pressure,30,585.28,0.5152
pressure,30,587.01,0.5152
pressure,30,588.74,0.5330
pressure,30,590.48,0.5330
pressure,30,592.21,0.5330
pressure,30,593.94,0.5330
pressure,30,595.67,0.5330
pressure,30,597.40,0.5330
pressure,30,599.13,0.5330
pressure,30,600.87,0.5330
pressure,30,602.60,0.5330
pressure,30,604.33,0.5330
pressure,30,606.06,0.5330
pressure,30,607.79,0.5330
pressure,30,609.52,0.5330
pressure,30,611.26,0.5330
pressure,30,612.99,0.5330
pressure,30,614.72,0.5330
pressure,30,616.45,0.5330
pressure,30,618.18,0.5330
pressure,30,619.91,0.5508
pressure,30,621.65,0.5508
pressure,30,623.38,0.5508
pressure,30,625.11,0.5508
pressure,30,626.84,0.5508
pressure,30,628.57,0.5508
pressure,30,630.30,0.5508
pressure,30,632.03,0.5508
pressure,30,633.77,0.5508
pressure,30,635.50,0.5508
pressure,30,637.23,0.5508
pressure,30,638.96,0.5508
pressure,30,640.69,0.5508
pressure,30,642.42,0.5508
pressure,30,644.16,0.5508
pressure,30,645.89,0.5508
pressure,30,647.62,0.5508
pressure,30,649.35,0.5508
pressure,30,651.08,0.5508
pressure,30,652.81,0.5508
pressure,30,654.55,0.5508
pressure,30,656.28,0.5508
pressure,30,658.01,0.5508
pressure,30,659.74,0.5508
pressure,30,661.47,0.5508
pressure,30,663.20,0.5508
pressure,30,664.94,0.5508
pressure,30,666.67,0.5508
pressure,30,668.40,0.5508
pressure,30,670.13,0.5508
pressure,30,671.86,0.5508
pressure,30,673.59,0.5508
pressure,30,675.32,0.5508
pressure,30,677.06,0.5685
pressure,30,678.79,0.5685
pressure,30,680.52,0.5863
pressure,30,682.25,0.5863
pressure,30,683.98,0.5863
pressure,30,685.71,0.6041
pressure,30,687.45,0.6218
pressure,30,689.18,0.6218
pressure,30,690.91,0.6218
pressure,30,692.64,0.6396
pressure,30,694.37,0.6574
pressure,30,696.10,0.6574
pressure,30,697.84,0.6574
pressure,30,699.57,0.6751
pressure,30,701.30,0.6929
pressure,30,703.03,0.6929
pressure,30,704.76,0.6929
pressure,30,706.49,0.7107
pressure,30,708.23,0.7284
pressure,30,709.96,0.7284
pressure,30,711.69,0.7462
pressure,30,713.42,0.7640
pressure,30,715.15,0.7640
pressure,30,716.88,0.7640
pressure,30,718.61,0.7817
pressure,30,720.35,0.7995
pressure,30,722.08,0.7995
pressure,30,723.81,0.8173
pressure,30,725.54,0.8173
pressure,30,727.27,0.8350
pressure,30,729.00,0.8350
pressure,30,730.74,0.8528
pressure,30,732.47,0.8528
pressure,30,734.20,0.8706
pressure,30,735.93,0.8706
pressure,30,737.66,0.8706
pressure,30,739.39,0.8706
pressure,30,741.13,0.8706
pressure,30,742.86,0.8706
pressure,30,744.59,0.8706
pressure,30,746.32,0.8706
pressure,30,748.05,0.8706
pressure,30,749.78,0.8706
pressure,30,751.52,0.8706
pressure,30,753.25,0.8706
pressure,30,754.98,0.8706
pressure,30,756.71,0.8706
pressure,30,758.44,0.8706
pressure,30,760.17,0.8706
pressure,30,761.90,0.8706
pressure,30,763.64,0.8706
pressure,30,765.37,0.8706
pressure,30,767.10,0.8706
pressure,30,768.83,0.8706
pressure,30,770.56,0.8706
pressure,30,772.29,0.8706
pressure,30,774.03,0.8706
pressure,30,775.76,0.8706
pressure,30,777.49,0.8706
pressure,30,779.22,0.8706
pressure,30,780.95,0.8706
pressure,30,782.68,0.8706
pressure,30,784.42,0.8706
pressure,30,786.15,0.8706
pressure,30,787.88,0.8706
pressure,30,789.61,0.8706
pressure,30,791.34,0.8706
pressure,30,793.07,0.8706
pressure,30,794.81,0.8706
pressure,30,796.54,0.8706
pressure,30,798.27,0.8706
pressure,30,800.00,0.8706
pressure,45,0.00,0.8706
pressure,45,1.73,0.8706
pressure,45,3.46,0.8706
pressure,45,5.19,0.8706
pressure,45,6.93,0.8706
pressure,45,8.66,0.8706
