# Digitized traces from Genet et al. (2023), their Fig 7 (internal volume [mL]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,58,339.75,12.4845
pressure,58,341.42,12.4485
pressure,58,343.10,12.4124
pressure,58,344.77,12.4124
pressure,58,346.44,12.3763
pressure,58,348.12,12.3402
pressure,58,349.79,12.2320
pressure,58,351.46,12.1959
pressure,58,353.14,12.1778
pressure,58,354.81,12.1598
pressure,58,356.49,12.1237
pressure,58,358.16,12.0876
pressure,58,359.83,12.0515
pressure,58,361.51,12.0155
pressure,58,363.18,11.9794
pressure,58,364.85,11.9613
pressure,58,366.53,11.9253
pressure,58,368.20,11.8892
pressure,58,369.87,11.8351
pressure,58,371.55,11.7990
pressure,58,373.22,11.7629
pressure,58,374.90,11.7268
pressure,58,376.57,11.6727
pressure,58,378.24,11.6366
pressure,58,379.92,11.6005
pressure,58,381.59,11.5464
pressure,58,383.26,11.5103
pressure,58,384.94,11.4742
pressure,58,386.61,11.2938
pressure,58,388.28,11.2397
pressure,58,389.96,11.2036
pressure,58,391.63,11.1495
pressure,58,393.31,11.0954
pressure,58,394.98,11.0593
pressure,58,396.65,10.9871
pressure,58,398.33,10.9510
pressure,58,400.00,10.8789
pressure,58,401.67,10.8428
pressure,58,403.35,10.7706
pressure,58,405.02,10.7345
pressure,58,406.69,10.6443
pressure,58,408.37,10.5361
pressure,58,410.04,10.3737
pressure,58,411.72,10.1572
pressure,58,413.39,9.8325
pressure,58,415.06,9.5077
pressure,58,416.74,9.0567
pressure,58,418.41,8.6237
pressure,58,420.08,8.1366
pressure,58,421.76,7.6495
pressure,58,423.43,7.1985
pressure,58,425.10,6.7835
pressure,58,426.78,6.3866
pressure,58,428.45,5.9897
pressure,58,430.13,5.6469
pressure,58,431.80,5.3041
pressure,58,433.47,4.9974
pressure,58,435.15,4.7088
pressure,58,436.82,4.4201
pressure,58,438.49,4.1495
pressure,58,440.17,3.9149
pressure,58,441.84,3.6804
pressure,58,443.51,3.4639
pressure,58,445.19,3.2474
pressure,58,446.86,3.0490
pressure,58,448.54,2.8686
pressure,58,450.21,2.7062
pressure,58,451.88,2.5438
pressure,58,453.56,2.3995
pressure,58,455.23,2.2552
pressure,58,456.90,2.1289
pressure,58,458.58,1.9845
pressure,58,460.25,1.8582
pressure,58,461.92,1.7680
pressure,58,463.60,1.6598
pressure,58,465.27,1.5696
pressure,58,466.95,1.4613
pressure,58,468.62,1.3711
pressure,58,470.29,1.2990
pressure,58,471.97,1.2268
pressure,58,473.64,1.1546
pressure,58,475.31,1.0825
pressure,58,476.99,1.0103
pressure,58,478.66,0.9562
pressure,58,480.33,0.9021
pressure,58,482.01,0.8479
pressure,58,483.68,0.8119
pressure,58,485.36,0.7397
pressure,58,487.03,0.7036
pressure,58,488.70,0.6675
pressure,58,490.38,0.6134
pressure,58,492.05,0.5773
pressure,58,493.72,0.5593
pressure,58,495.40,0.5412
pressure,58,497.07,0.5232
pressure,58,498.74,0.5232
pressure,58,500.42,0.5232
pressure,58,502.09,0.5052
pressure,58,503.77,0.5052
pressure,58,505.44,0.5052
pressure,58,507.11,0.4871
pressure,58,508.79,0.4871
pressure,58,510.46,0.4871
pressure,58,512.13,0.4871
pressure,58,513.81,0.4871
pressure,58,515.48,0.4691
pressure,58,517.15,0.4691
pressure,58,518.83,0.4691
pressure,58,520.50,0.4691
pressure,58,522.18,0.4691
pressure,58,523.85,0.4691
pressure,58,525.52,0.4691
pressure,58,527.20,0.4691
pressure,58,528.87,0.4691
pressure,58,530.54,0.4691
pressure,58,532.22,0.4691
pressure,58,533.89,0.4691
pressure,58,535.56,0.4691
pressure,58,537.24,0.4691
pressure,58,538.91,0.4691
pressure,58,540.59,0.4691
pressure,58,542.26,0.4691
pressure,58,543.93,0.4871
pressure,58,545.61,0.4871
pressure,58,547.28,0.4871
pressure,58,548.95,0.4871
pressure,58,550.63,0.4871
pressure,58,552.30,0.4871
