# Digitized trace from Genet et al. (2023), "Reduced left ventricular dynamics
#   modeling based on a cylindrical assumption", Int. J. Numer. Meth. Biomed.
#   Engng.; their Figure 5 (baseline beat). Extracted from the published figure
#   by dark-pixel segmentation (provenance/reproduction; no image in the repo).
time_ms,pressure_kPa,pressure_mmHg,volume_mL,torsion_deg
119,1.2041,9.032,135.5283,-2.8929
120,1.2865,9.649,135.5283,-2.7899
121,1.3534,10.152,135.5283,-2.7255
122,1.4185,10.640,135.5283,-2.6740
123,1.5215,11.412,135.5283,-2.6226
124,1.6160,12.121,135.5283,-2.5079
125,1.6984,12.739,135.5283,-2.3019
126,1.7960,13.471,135.5283,-2.1721
127,1.8990,14.244,135.5283,-2.0620
128,2.0020,15.016,135.5283,-1.8560
129,2.1132,15.850,135.5283,-1.6501
130,2.2367,16.777,135.5283,-1.4441
131,2.3603,17.704,135.5283,-1.2381
132,2.4851,18.640,135.5283,-1.0262
133,2.6293,19.721,135.5283,-0.7172
134,2.7734,20.802,135.5283,-0.4483
135,2.9176,21.884,135.5283,-0.2423
136,3.0470,22.854,135.5283,0.0376
137,3.1725,23.796,135.5283,0.3490
138,3.3373,25.032,135.5283,0.7094
139,3.5021,26.268,135.5283,1.0504
140,3.6668,27.504,135.5283,1.3593
141,3.8170,28.630,135.5283,1.7047
142,3.9612,29.711,135.5283,2.0651
143,4.1054,30.793,135.5283,2.4256
144,4.2420,31.817,135.5283,2.7860
145,4.3655,32.744,135.5283,3.1464
146,4.5178,33.887,135.5283,3.4709
147,4.6826,35.122,135.5283,3.7827
148,4.8474,36.358,135.5283,4.1946
149,5.0121,37.594,135.5283,4.5697
150,5.1769,38.830,135.5283,4.8787
151,5.3417,40.066,135.5283,5.2584
152,5.5064,41.302,135.5283,5.6686
153,5.6712,42.538,135.5283,5.9775
154,5.8360,43.773,135.5283,6.3043
155,6.0007,45.009,135.5283,6.6647
156,6.1655,46.245,135.5283,7.0251
157,6.3304,47.482,135.5283,7.3852
158,6.5158,48.872,135.5283,7.6942
159,6.6942,50.211,135.5283,8.0377
160,6.8590,51.447,135.5283,8.4496
161,7.0237,52.682,135.5283,8.7930
162,7.1885,53.918,135.5283,9.1019
163,7.3533,55.154,135.5283,9.4108
164,7.5247,56.440,135.4612,9.7198
165,7.7101,57.831,135.2552,10.0287
166,7.8820,59.120,135.0493,10.2701
167,8.0467,60.355,134.8433,10.4761
168,8.2115,61.591,134.8403,10.7835
169,8.3763,62.827,134.8403,11.0600
170,8.5410,64.063,134.8403,11.2660
171,8.7058,65.299,134.7074,11.4719
172,8.8706,66.535,134.5015,11.6779
173,9.0353,67.771,134.2955,11.8838
174,9.2001,69.006,134.0896,12.0741
175,9.3649,70.242,133.8836,12.2286
176,9.5296,71.478,133.6776,12.3830
177,9.6944,72.714,133.4717,12.5375
178,9.8592,73.950,133.2657,12.6920
179,10.0118,75.095,133.0598,12.8465
180,10.1354,76.022,132.8538,13.0009
181,10.2847,77.141,132.6479,13.1232
182,10.4494,78.377,132.4419,13.2262
183,10.5749,79.318,132.2359,13.3292
184,10.6985,80.245,131.9715,13.4468
185,10.8221,81.172,131.5596,13.6013
186,10.9456,82.099,131.4005,13.7557
187,11.0692,83.026,131.4005,13.9102
188,11.1928,83.953,131.0118,14.0161
189,11.3051,84.795,130.5999,14.1191
190,11.3875,85.413,130.1880,14.2221
191,11.4823,86.124,129.7760,14.3250
192,11.5853,86.897,129.3641,14.4280
193,11.6882,87.669,129.1444,14.5310
194,11.7858,88.401,128.9385,14.6204
195,11.8682,89.019,128.7325,14.6719
196,11.9384,89.545,128.4044,14.7539
197,12.0001,90.008,127.9925,14.8569
198,12.0619,90.472,127.5806,14.9599
199,12.1289,90.974,127.2727,15.0759
200,12.2113,91.592,127.2727,15.2303
201,12.2697,92.030,127.0328,15.3548
202,12.3109,92.339,126.6209,15.4578
203,12.3333,92.507,126.0211,15.5138
204,12.3589,92.699,125.5029,15.5778
205,12.4001,93.008,125.2970,15.6807
206,12.4295,93.229,124.9732,15.7543
