# Digitized traces from Genet et al. (2023), their Fig 6 (aspect ratio  L/2R_i).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,1.0,299.58,12.6289
pressure,1.0,301.26,12.6108
pressure,1.0,302.93,12.6108
pressure,1.0,304.60,12.6108
pressure,1.0,306.28,12.5928
pressure,1.0,307.95,12.5747
pressure,1.0,309.62,12.5747
pressure,1.0,311.30,12.5747
pressure,1.0,312.97,12.5567
pressure,1.0,314.64,12.5387
pressure,1.0,316.32,12.5387
pressure,1.0,317.99,12.5387
pressure,1.0,319.67,12.5206
pressure,1.0,321.34,12.5026
pressure,1.0,323.01,12.5026
pressure,1.0,324.69,12.5026
pressure,1.0,326.36,12.5026
pressure,1.0,328.03,12.4845
pressure,1.0,329.71,12.4845
pressure,1.0,331.38,12.4665
pressure,1.0,333.05,12.4665
pressure,1.0,334.73,12.4304
pressure,1.0,336.40,12.4304
pressure,1.0,338.08,12.4124
pressure,1.0,339.75,12.3943
pressure,1.0,341.42,12.3582
pressure,1.0,343.10,12.3402
pressure,1.0,344.77,12.3222
pressure,1.0,346.44,12.2861
pressure,1.0,348.12,12.2680
pressure,1.0,349.79,12.2320
pressure,1.0,351.46,12.1959
pressure,1.0,353.14,12.1598
pressure,1.0,354.81,12.1237
pressure,1.0,356.49,12.0876
pressure,1.0,358.16,12.0515
pressure,1.0,359.83,12.0155
pressure,1.0,361.51,11.9794
pressure,1.0,363.18,11.9433
pressure,1.0,364.85,11.9072
pressure,1.0,366.53,11.8711
pressure,1.0,368.20,11.8351
pressure,1.0,369.87,11.7809
pressure,1.0,371.55,11.7448
pressure,1.0,373.22,11.6907
pressure,1.0,374.90,11.6546
pressure,1.0,376.57,11.6186
pressure,1.0,378.24,11.5825
pressure,1.0,379.92,11.5284
pressure,1.0,381.59,11.4923
pressure,1.0,383.26,11.4381
pressure,1.0,384.94,11.3840
pressure,1.0,386.61,11.3479
pressure,1.0,388.28,11.2938
pressure,1.0,389.96,11.2397
pressure,1.0,391.63,11.2036
pressure,1.0,393.31,11.1314
pressure,1.0,394.98,11.0954
pressure,1.0,396.65,11.0412
pressure,1.0,398.33,10.9871
pressure,1.0,400.00,10.9330
pressure,1.0,401.67,10.8789
pressure,1.0,403.35,10.8247
pressure,1.0,405.02,10.7706
pressure,1.0,406.69,10.7165
pressure,1.0,408.37,10.5722
pressure,1.0,410.04,10.4278
pressure,1.0,411.72,10.2113
pressure,1.0,413.39,9.8866
pressure,1.0,415.06,9.5438
pressure,1.0,416.74,9.1108
pressure,1.0,418.41,8.6598
pressure,1.0,420.08,8.1907
pressure,1.0,421.76,7.6675
pressure,1.0,423.43,7.2345
pressure,1.0,425.10,6.8196
pressure,1.0,426.78,6.4046
pressure,1.0,428.45,6.0258
pressure,1.0,430.13,5.6649
pressure,1.0,431.80,5.3222
pressure,1.0,433.47,5.0335
pressure,1.0,435.15,4.7088
pressure,1.0,436.82,4.4201
pressure,1.0,438.49,4.1675
pressure,1.0,440.17,3.9330
pressure,1.0,441.84,3.6804
pressure,1.0,443.51,3.4639
pressure,1.0,445.19,3.2474
pressure,1.0,446.86,3.0670
pressure,1.0,448.54,2.8866
pressure,1.0,450.21,2.7062
pressure,1.0,451.88,2.5438
pressure,1.0,453.56,2.3995
pressure,1.0,455.23,2.2552
pressure,1.0,456.90,2.1289
pressure,1.0,458.58,1.9845
pressure,1.0,460.25,1.8582
pressure,1.0,461.92,1.7680
pressure,1.0,463.60,1.6418
pressure,1.0,465.27,1.5335
pressure,1.0,466.95,1.4613
pressure,1.0,468.62,1.3711
pressure,1.0,470.29,1.2990
pressure,1.0,471.97,1.2088
pressure,1.0,473.64,1.1366
pressure,1.0,475.31,1.0644
pressure,1.0,476.99,1.0103
pressure,1.0,478.66,0.9381
pressure,1.0,480.33,0.8840
pressure,1.0,482.01,0.8299
pressure,1.0,483.68,0.7758
pressure,1.0,485.36,0.7397
pressure,1.0,487.03,0.6856
pressure,1.0,488.70,0.6495
pressure,1.0,490.38,0.6134
pressure,1.0,492.05,0.5773
pressure,1.0,493.72,0.5593
pressure,1.0,495.40,0.5412
pressure,1.0,497.07,0.5412
pressure,1.0,498.74,0.5232
pressure,1.0,500.42,0.5232
pressure,1.0,502.09,0.5232
pressure,1.0,503.77,0.5232
pressure,1.0,505.44,0.5052
pressure,1.0,507.11,0.5052
pressure,1.0,508.79,0.5052
pressure,1.0,510.46,0.4871
pressure,1.0,512.13,0.4871
pressure,1.0,513.81,0.4871
pressure,1.0,515.48,0.4871
pressure,1.0,517.15,0.4871
pressure,1.0,518.83,0.4871
pressure,1.0,520.50,0.4871
pressure,1.0,522.18,0.4871
pressure,1.0,523.85,0.4871
pressure,1.0,525.52,0.4871
pressure,1.0,527.20,0.4871
pressure,1.0,528.87,0.4871
pressure,1.0,530.54,0.4871
pressure,1.0,532.22,0.4871
pressure,1.0,533.89,0.4871
pressure,1.0,535.56,0.4871
pressure,1.0,537.24,0.4871
pressure,1.0,538.91,0.4871
pressure,1.0,540.59,0.4871
pressure,1.0,542.26,0.4871
pressure,1.0,543.93,0.4871
pressure,1.0,545.61,0.4871
pressure,1.0,547.28,0.4871
pressure,1.0,548.95,0.4871
pressure,1.0,550.63,0.4871
pressure,1.0,552.30,0.4871
pressure,1.0,553.97,0.5052
pressure,1.0,555.65,0.5052
pressure,1.0,557.32,0.5052
pressure,1.0,559.00,0.5052
pressure,1.0,560.67,0.5052
pressure,1.0,562.34,0.5052
pressure,1.0,564.02,0.5052
pressure,1.0,565.69,0.5232
pressure,1.0,567.36,0.5232
pressure,1.0,569.04,0.5232
pressure,1.0,570.71,0.5232
pressure,1.0,572.38,0.5232
pressure,1.0,574.06,0.5232
pressure,1.0,575.73,0.5232
pressure,1.0,577.41,0.5232
pressure,1.0,579.08,0.5232
pressure,1.0,580.75,0.5232
pressure,1.0,582.43,0.5232
pressure,1.0,584.10,0.5232
pressure,1.0,585.77,0.5412
pressure,1.0,587.45,0.5412
pressure,1.0,589.12,0.5412
pressure,1.0,590.79,0.5412
pressure,1.0,592.47,0.5412
pressure,1.0,594.14,0.5412
pressure,1.0,595.82,0.5412
pressure,1.0,597.49,0.5412
pressure,1.0,599.16,0.5412
pressure,1.0,600.84,0.5412
pressure,1.0,602.51,0.5412
pressure,1.0,604.18,0.5412
pressure,1.0,605.86,0.5412
pressure,1.0,607.53,0.5412
pressure,1.0,609.21,0.5412
pressure,1.0,610.88,0.5412
pressure,1.0,612.55,0.5412
pressure,1.0,614.23,0.5412
pressure,1.0,615.90,0.5412
pressure,1.0,617.57,0.5412
pressure,1.0,619.25,0.5412
pressure,1.0,620.92,0.5412
pressure,1.0,622.59,0.5412
pressure,1.0,624.27,0.5412
pressure,1.0,625.94,0.5412
pressure,1.0,627.62,0.5412
pressure,1.0,629.29,0.5412
pressure,1.0,630.96,0.5412
pressure,1.0,632.64,0.5412
pressure,1.0,634.31,0.5412
pressure,1.0,635.98,0.5412
pressure,1.0,637.66,0.5412
pressure,1.0,639.33,0.5412
pressure,1.0,641.00,0.5412
pressure,1.0,642.68,0.5412
pressure,1.0,644.35,0.5412
pressure,1.0,646.03,0.5412
pressure,1.0,647.70,0.5412
pressure,1.0,649.37,0.5412
pressure,1.0,651.05,0.5412
pressure,1.0,652.72,0.5412
pressure,1.0,654.39,0.5412
pressure,1.0,656.07,0.5412
pressure,1.0,657.74,0.5412
pressure,1.0,659.41,0.5412
pressure,1.0,661.09,0.5412
pressure,1.0,662.76,0.5593
pressure,1.0,664.44,0.5593
pressure,1.0,666.11,0.5593
pressure,1.0,667.78,0.5773
pressure,1.0,669.46,0.5773
pressure,1.0,671.13,0.5954
pressure,1.0,672.80,0.5954
pressure,1.0,674.48,0.5954
pressure,1.0,676.15,0.6134
pressure,1.0,677.82,0.6314
pressure,1.0,679.50,0.6314
pressure,1.0,681.17,0.6314
pressure,1.0,682.85,0.6495
pressure,1.0,684.52,0.6495
pressure,1.0,686.19,0.6675
pressure,1.0,687.87,0.6675
pressure,1.0,689.54,0.6856
pressure,1.0,691.21,0.7036
pressure,1.0,692.89,0.7036
pressure,1.0,694.56,0.7216
pressure,1.0,696.23,0.7216
pressure,1.0,697.91,0.7397
pressure,1.0,699.58,0.7397
pressure,1.0,701.26,0.7577
pressure,1.0,702.93,0.7577
pressure,1.0,704.60,0.7758
pressure,1.0,706.28,0.7758
pressure,1.0,707.95,0.7938
pressure,1.0,709.62,0.8119
pressure,1.0,711.30,0.8119
pressure,1.0,712.97,0.8119
pressure,1.0,714.64,0.8299
pressure,1.0,716.32,0.8479
pressure,1.0,717.99,0.8479
pressure,1.0,719.67,0.8660
pressure,1.0,721.34,0.8660
pressure,1.0,723.01,0.8660
pressure,1.0,724.69,0.8660
pressure,1.0,726.36,0.8660
pressure,1.0,728.03,0.8660
pressure,1.0,729.71,0.8660
pressure,1.0,731.38,0.8840
pressure,1.0,733.05,0.8840
pressure,1.0,734.73,0.8840
pressure,1.0,736.40,0.8840
pressure,1.0,738.08,0.8840
pressure,1.0,739.75,0.8840
pressure,1.0,741.42,0.8840
pressure,1.0,743.10,0.8840
pressure,1.0,744.77,0.8840
pressure,1.0,746.44,0.8840
pressure,1.0,748.12,0.8840
pressure,1.0,749.79,0.8840
pressure,1.0,751.46,0.8840
pressure,1.0,753.14,0.8840
pressure,1.0,754.81,0.8840
pressure,1.0,756.49,0.8840
pressure,1.0,758.16,0.8840
pressure,1.0,759.83,0.8840
pressure,1.0,761.51,0.8840
pressure,1.0,763.18,0.8840
pressure,1.0,764.85,0.8840
pressure,1.0,766.53,0.8840
pressure,1.0,768.20,0.8840
pressure,1.0,769.87,0.8840
pressure,1.0,771.55,0.8840
pressure,1.0,773.22,0.8840
pressure,1.0,774.90,0.8840
pressure,1.0,776.57,0.8840
pressure,1.0,778.24,0.8840
pressure,1.0,779.92,0.8840
pressure,1.0,781.59,0.8840
pressure,1.0,783.26,0.8840
pressure,1.0,784.94,0.8840
pressure,1.0,786.61,0.8840
pressure,1.0,788.28,0.8840
pressure,1.0,789.96,0.8840
pressure,1.0,791.63,0.8840
pressure,1.0,793.31,0.8840
pressure,1.0,794.98,0.8840
pressure,1.0,796.65,0.8840
pressure,1.0,798.33,0.8840
pressure,1.0,800.00,0.8840
pressure,1.5,0.00,0.8840
pressure,1.5,1.67,0.8840
pressure,1.5,3.35,0.8840
pressure,1.5,5.02,0.8840
pressure,1.5,6.69,0.8840
pressure,1.5,8.37,0.8840
pressure,1.5,10.04,0.8840
pressure,1.5,11.72,0.8840
pressure,1.5,13.39,0.8840
pressure,1.5,15.06,0.8840
pressure,1.5,16.74,0.8840
pressure,1.5,18.41,0.8840
pressure,1.5,20.08,0.8840
pressure,1.5,21.76,0.8840
pressure,1.5,23.43,0.8840
pressure,1.5,25.10,0.8840
pressure,1.5,26.78,0.8840
pressure,1.5,28.45,0.8840
