# Digitized traces from Genet et al. (2023), their Fig 8 (wall volume [mL]).
# Extracted from the published figure by hue segmentation (provenance/reproduction).
# Where variations overlap (curves coincide) an occluded segment is completed from
# the nearest visible variation. columns: panel {pressure[kPa],volume[mL],torsion[deg]}, variation, x=time[ms], y.
panel,variation,x,y
pressure,117,355.36,11.5464
pressure,117,357.11,11.5103
pressure,117,358.86,11.4742
pressure,117,360.61,11.4381
pressure,117,362.36,11.4021
pressure,117,364.11,11.3479
pressure,117,365.86,11.3119
pressure,117,367.61,11.2758
pressure,117,369.37,11.2397
pressure,117,371.12,11.2036
pressure,117,372.87,11.1675
pressure,117,374.62,11.1314
pressure,117,376.37,11.0773
pressure,117,378.12,11.0232
pressure,117,379.87,10.9871
pressure,117,381.62,10.9510
pressure,117,383.37,10.9149
pressure,117,385.12,10.8428
pressure,117,386.87,10.8067
pressure,117,388.62,10.7706
pressure,117,390.37,10.7165
pressure,117,392.12,10.6624
pressure,117,393.87,10.6082
pressure,117,395.62,10.5722
pressure,117,397.37,10.5000
pressure,117,399.12,10.4639
pressure,117,400.88,10.3918
pressure,117,402.63,10.3557
pressure,117,404.38,10.2655
pressure,117,406.13,10.1211
pressure,117,407.88,10.1211
pressure,117,409.63,9.9407
pressure,117,411.38,9.9046
pressure,117,413.13,9.5077
pressure,117,414.88,9.5077
pressure,117,416.63,9.0387
pressure,117,418.38,8.5515
pressure,117,420.13,8.0284
pressure,117,421.88,7.5593
pressure,117,423.63,7.1263
pressure,117,425.38,6.6933
pressure,117,427.13,6.2784
pressure,117,428.88,5.9175
pressure,117,430.63,5.5567
pressure,117,432.39,5.2320
pressure,117,434.14,4.9072
pressure,117,435.89,4.6186
pressure,117,437.64,4.3479
pressure,117,439.39,4.0773
pressure,117,441.14,3.8428
pressure,117,442.89,3.6082
pressure,117,444.64,3.3918
pressure,117,446.39,3.1933
pressure,117,448.14,2.9948
pressure,117,449.89,2.8144
pressure,117,451.64,2.6340
pressure,117,453.39,2.4897
pressure,117,455.14,2.3454
pressure,117,456.89,2.1830
pressure,117,458.64,2.0567
pressure,117,460.39,1.9304
pressure,117,462.14,1.8222
pressure,117,463.89,1.6959
pressure,117,465.65,1.6057
pressure,117,467.40,1.4974
pressure,117,469.15,1.4072
pressure,117,470.90,1.3351
pressure,117,472.65,1.2448
pressure,117,474.40,1.1727
pressure,117,476.15,1.1005
pressure,117,477.90,1.0284
pressure,117,479.65,0.9742
pressure,117,481.40,0.9021
pressure,117,483.15,0.8479
pressure,117,484.90,0.8119
pressure,117,486.65,0.7397
pressure,117,488.40,0.7036
pressure,117,490.15,0.6495
pressure,117,491.90,0.6134
pressure,117,493.65,0.5773
pressure,117,495.40,0.5593
pressure,117,497.16,0.5593
pressure,117,498.91,0.5412
pressure,117,500.66,0.5412
pressure,117,502.41,0.5232
pressure,117,504.16,0.5232
pressure,117,505.91,0.5232
pressure,117,507.66,0.5232
pressure,117,509.41,0.5232
